customer_id,signup_date,age,region,acquisition_channel,loyalty_tier
1,2024-10-08,42.0,London,Email,Standard
2,2024-02-01,43.0,South West,Paid Search,Silver
3,2025-04-23,30.0,london,Paid Search,Standard
4,2025-06-13,29.0,London,Paid Search,Gold
5,2025-04-13,43.0,London,Paid Search,Standard
6,2025-04-19,32.0,North West,Email,Standard
7,2025-04-14,20.0,west midlands,Email,Silver
8,2024-08-24,22.0,,Affiliate,Standard
9,2024-01-12,24.0,East of England,Organic Search,Silver
10,2025-12-08,39.0,South East,Email,Standard
11,2024-05-26,36.0,North East,Paid Search,Standard
12,2025-08-15,42.0,Wales,Organic Search,Gold
13,2025-01-21,29.0,North West,Email,Standard
14,2025-01-20,36.0,South East,Organic Search,Silver
15,2024-01-16,41.0,Wales,Organic Search,Gold
16,2025-12-09,31.0,Yorkshire,Organic Search,Silver
17,2025-01-12,39.0,London,Social,Standard
18,2025-08-16,27.0,South East,Organic Search,Standard
19,2025-07-10,30.0,South East,Affiliate,Standard
20,2024-04-08,30.0,North West,Paid Search,Silver
21,2025-11-08,21.0,East of England,Paid Search,Gold
22,2025-02-26,39.0,South East,Social,Standard
23,2024-05-12,29.0,London,Affiliate,Silver
24,2025-02-19,34.0,South West,Email,Standard
25,2025-03-16,39.0,West Midlands,Organic Search,Standard
26,2025-04-11,39.0,East of England,Affiliate,Standard
27,2024-08-17,41.0,South East,Social,Standard
28,2025-11-03,33.0,West Midlands,Direct,Standard
29,2024-06-18,29.0,Scotland,Social,Standard
30,2024-12-17,33.0,London,Paid Search,Standard
31,2025-08-22,18.0,East of England,Affiliate,Standard
32,2024-02-25,18.0,South East,Organic Search,Standard
33,2024-10-15,19.0,London,Email,Standard
34,2024-12-08,23.0,North East,Social,Standard
35,2025-07-06,38.0,Scotland,Organic Search,Standard
36,2025-07-17,24.0,South East,Organic Search,Standard
37,2025-07-23,30.0,South East,Organic Search,Standard
38,2024-09-13,48.0,London,Organic Search,Silver
39,2024-12-17,30.0,West Midlands,Social,Standard
40,2024-01-20,42.0,London,Email,Standard
41,2025-08-11,24.0,East of England,Organic Search,Standard
42,2024-08-04,32.0,London,Organic Search,Standard
43,2024-11-30,24.0,West Midlands,Affiliate,Standard
44,2025-05-02,30.0,Wales,Organic Search,Gold
45,2025-07-09,43.0,London,Affiliate,Standard
46,2024-03-02,18.0,North West,Organic Search,Standard
47,2025-07-02,39.0,yorkshire,Affiliate,Standard
48,2024-09-25,37.0,London,Email,Silver
49,2024-10-25,27.0,Wales,Organic Search,Standard
50,2024-04-05,18.0,West Midlands,Paid Search,Standard
51,2025-05-27,35.0,East of England,Paid Search,Standard
52,2024-12-06,28.0,West Midlands,Organic Search,Standard
53,2024-03-15,37.0,South East,Paid Search,Standard
54,2024-04-11,34.0,London,Email,Standard
55,2025-05-30,52.0,South West,Email,Standard
56,2024-03-18,31.0,North West,Organic Search,Silver
57,2025-01-07,23.0,Wales,Email,Standard
58,2025-05-13,36.0,South West,Paid Search,Standard
59,2025-10-14,36.0,South East,Organic Search,Silver
60,2024-04-22,49.0,London,Organic Search,Standard
61,2024-07-30,43.0,Wales,Paid Search,Gold
62,2024-04-20,38.0,London,Organic Search,Silver
63,2025-09-21,50.0,Wales,Organic Search,Standard
64,2025-02-27,21.0,London,Paid Search,Silver
65,2025-12-04,27.0,London,Direct,Silver
66,2024-02-01,24.0,London,Email,Standard
67,2025-05-19,30.0,East of England,Direct,Standard
68,2024-01-24,19.0,South East,Organic Search,Standard
69,2024-03-18,41.0,North East,Direct,Standard
70,2024-11-04,32.0,East of England,Organic Search,Standard
71,2024-09-19,18.0,London,Organic Search,Standard
72,2024-09-18,23.0,West Midlands,Organic Search,Standard
73,2024-02-18,37.0,South East,Paid Search,Silver
74,2025-01-24,43.0,West Midlands,Organic Search,Standard
75,2024-08-31,56.0,North West,Email,Standard
76,2025-12-11,66.0,Scotland,Email,Standard
77,2025-07-18,39.0,East of England,Paid Search,Standard
78,2024-11-06,23.0,South East,Affiliate,Standard
79,2025-07-01,18.0,South West,Organic Search,Standard
80,2025-02-15,37.0,South West,Organic Search,Standard
81,2024-12-20,25.0,South West,Organic Search,Silver
82,2025-10-19,29.0,London,Paid Search,Standard
83,2025-02-24,27.0,South East,Organic Search,Gold
84,2024-12-11,32.0,Scotland,Organic Search,Gold
85,2025-02-09,46.0,wales,Paid Search,Standard
86,2025-07-12,36.0,London,Affiliate,Gold
87,2025-06-14,32.0,Scotland,Affiliate,Standard
88,2025-01-27,23.0,Yorkshire,Direct,Standard
89,2024-05-06,18.0,London,Organic Search,Standard
90,2025-03-31,29.0,Wales,Organic Search,Standard
91,2024-11-03,33.0,Scotland,Social,Silver
92,2025-10-28,53.0,West Midlands,Social,Gold
93,2025-10-11,35.0,North West,Organic Search,Standard
94,2024-01-01,45.0,South East,Affiliate,Standard
95,2025-12-15,29.0,East of England,Direct,Standard
96,2025-10-06,21.0,North West,Paid Search,STANDARD
97,2025-10-10,23.0,East of England,Direct,Standard
98,2024-12-21,26.0,South East,Organic Search,Silver
99,2024-07-12,57.0,West Midlands,Social,Standard
100,2025-03-09,25.0,Yorkshire,Organic Search,Gold
101,2025-09-23,43.0,Yorkshire,Social,Silver
102,2024-11-17,24.0,London,Organic Search,Silver
103,2025-12-05,44.0,South West,Social,Standard
104,2024-07-05,38.0,London,Organic Search,Standard
105,2025-09-01,32.0,West Midlands,Paid Search,Standard
106,2024-02-17,34.0,South East,Email,Standard
107,2025-08-23,27.0,Wales,Paid Search,Standard
108,2025-11-06,39.0,West Midlands,Social,Silver
109,2025-05-17,29.0,South West,Direct,Standard
110,2025-03-22,21.0,North West,Direct,Standard
111,2024-10-21,20.0,London,Direct,Standard
112,2025-09-16,36.0,london,Organic Search,Standard
113,2024-03-31,51.0,London,Social,Standard
114,2024-07-26,36.0,East of England,Affiliate,Standard
115,2024-04-03,33.0,North East,Direct,Standard
116,2024-07-17,37.0,London,Paid Search,Standard
117,2025-01-09,48.0,North West,Direct,Standard
118,2024-08-28,36.0,London,Paid Search,Standard
119,2024-10-27,29.0,South East,Affiliate,Standard
120,2024-06-14,46.0,West Midlands,Social,Silver
121,2024-09-09,39.0,Yorkshire,Paid Search,Standard
122,2024-12-22,51.0,Wales,Organic Search,Standard
123,2024-06-01,36.0,West Midlands,Organic Search,Standard
124,2025-10-31,21.0,South West,Email,Standard
125,2025-10-03,19.0,London,Social,Standard
126,2025-09-18,52.0,South East,Paid Search,Standard
127,2024-01-02,53.0,Wales,Email,Standard
128,2024-12-19,32.0,East of England,Social,Standard
129,2025-07-22,30.0,South East,Organic Search,Silver
130,2024-09-06,50.0,South East,Paid Search,Standard
131,2024-06-14,22.0,London,Paid Search,Standard
132,2025-03-13,24.0,North West,Paid Search,Gold
133,2024-01-02,41.0,South West,Direct,Silver
134,2025-03-13,30.0,Wales,Direct,Standard
135,2024-11-18,34.0,South West,Social,Standard
136,2025-05-03,32.0,Yorkshire,Paid Search,Standard
137,2025-05-03,38.0,London,Affiliate,Standard
138,2025-01-17,49.0,London,Organic Search,Standard
139,2025-02-21,35.0,South East,Social,Standard
140,2024-01-20,41.0,London,Direct,Standard
141,2025-12-02,18.0,Scotland,Direct,Silver
142,2024-02-24,33.0,Yorkshire,Direct,Standard
143,2025-11-29,25.0,South East,Organic Search,Standard
144,2025-11-27,21.0,East of England,Social,Standard
145,2025-05-28,24.0,East of England,Affiliate,Silver
146,2025-06-17,30.0,West Midlands,Organic Search,Standard
147,2024-01-22,44.0,london,Affiliate,Standard
148,2025-11-08,19.0,South East,Paid Search,Silver
149,2025-01-12,34.0,London,Direct,Standard
150,2024-08-30,29.0,Wales,Paid Search,Standard
151,2025-04-23,30.0,South West,Paid Search,Standard
152,2025-01-17,45.0,North West,Direct,Standard
153,2024-09-15,40.0,Wales,Email,Gold
154,2024-08-18,49.0,South East,Social,Standard
155,2024-03-25,32.0,London,Direct,STANDARD
156,2025-10-11,26.0,South East,Social,Standard
157,2025-04-21,32.0,West Midlands,Social,Standard
158,2024-07-24,37.0,East of England,Paid Search,Standard
159,2025-06-01,36.0,London,Affiliate,Standard
160,2025-05-11,22.0,London,Social,Silver
