month,channel,spend,impressions,clicks
2025-01-01,Paid Search,44055.63,4361978,152928
2025-01-01,Social,41096.39,3118095,165472
2025-01-01,Affiliate,21113.04,2137228,40369
2025-01-01,Email,10621.19,1247115,38263
2025-01-01,Organic Search,5905.93,512921,14005
2025-01-01,Direct,3015.77,364549,17823
2025-02-01,Paid Search,47314.37,4533981,134920
2025-02-01,Social,43060.38,3283291,100536
2025-02-01,Affiliate,26117.96,2040210,84223
2025-02-01,Email,10061.71,1199559,50938
2025-02-01,Organic Search,5827.78,513290,12502
2025-02-01,Direct,3017.22,247172,6831
2025-03-01,Paid Search,41177.88,4107439,85950
2025-03-01,Social,34823.46,4114728,193939
2025-03-01,Affiliate,18333.21,1820650,71483
2025-03-01,Email,7853.43,809008,32345
2025-03-01,Organic Search,4845.88,469937,21996
2025-03-01,Direct,2577.88,251623,12198
2025-04-01,Paid Search,43142.65,3994967,74200
2025-04-01,Social,40267.6,4988067,121524
2025-04-01,Affiliate,18502.87,1444885,35896
2025-04-01,Email,8924.51,924263,38934
2025-04-01,Organic Search,5046.44,414631,17389
2025-04-01,Direct,2420.92,243584,7106
2025-05-01,Paid Search,39359.43,3522435,177202
2025-05-01,Social,36685.5,3541387,183456
2025-05-01,Affiliate,19801.88,1520682,74808
2025-05-01,Email,7726.26,803516,43701
2025-05-01,Organic Search,5313.06,566794,16361
2025-05-01,Direct,2510.96,239779,7364
2025-06-01,Paid Search,41689.69,3886958,85986
2025-06-01,Social,33162.45,3448588,122016
2025-06-01,Affiliate,21429.36,2128558,44979
2025-06-01,Email,7968.19,647193,25201
2025-06-01,Organic Search,5094.29,454020,17858
2025-06-01,Direct,2448.84,286817,9954
2025-07-01,Paid Search,40604.74,3593881,145625
2025-07-01,Social,34606.97,4142167,99128
2025-07-01,Affiliate,21614.07,2105580,96990
2025-07-01,Email,8756.59,901447,18806
2025-07-01,Organic Search,4751.44,443408,10852
2025-07-01,Direct,2883.01,339531,18334
2025-08-01,Paid Search,39901.75,4372757,159576
2025-08-01,Social,32081.35,3837780,165843
2025-08-01,Affiliate,19985.11,1681956,72733
2025-08-01,Email,8709.24,727169,14071
2025-08-01,Organic Search,5809.76,584785,32053
2025-08-01,Direct,2335.82,234560,11144
2025-09-01,Paid Search,41178.98,3725016,113590
2025-09-01,Social,36831.98,3760249,98521
2025-09-01,Affiliate,18084.35,1991639,56668
2025-09-01,Email,8303.57,1031085,24266
2025-09-01,Organic Search,5152.96,545524,27047
2025-09-01,Direct,2633.11,236963,12103
2025-10-01,Paid Search,40095.93,4290615,212029
2025-10-01,Social,37453.56,4096412,132745
2025-10-01,Affiliate,19827.97,1559027,48725
2025-10-01,Email,9551.36,747771,24840
2025-10-01,Organic Search,5061.62,628296,16521
2025-10-01,Direct,2465.02,246687,11798
2025-11-01,Paid Search,60681.66,4796674,104373
2025-11-01,Social,55791.29,4895743,140892
2025-11-01,Affiliate,28705.56,2867399,52464
2025-11-01,Email,13160.61,1049649,34216
2025-11-01,Organic Search,7905.0,672310,20873
2025-11-01,Direct,4264.74,487332,10108
2025-12-01,Paid Search,72972.51,5646912,235953
2025-12-01,Social,55484.22,5880765,321309
2025-12-01,Affiliate,30670.64,3436415,130493
2025-12-01,Email,13519.67,1395743,66279
2025-12-01,Organic Search,7990.5,925034,21079
2025-12-01,Direct,3858.93,354033,14070
