order_id,product_id,quantity,unit_price,unit_cost,discount_pct,line_revenue
500001,1014,1,50.44,25.6,0.15,50.44
500001,1025,1,59.92,27.34,0.0,59.92
500002,1031,1,109.6,59.46,0.0,109.6
500003,1029,1,73.87,44.16,0.05,73.87
500004,1027,1,68.17,40.42,0.0,68.17
500005,1018,1,104.9,54.7,0.1,104.9
500005,1027,1,68.17,40.42,0.0,68.17
500006,1005,1,43.89,29.47,0.2,43.89
500007,1023,1,53.81,45.15,0.25,53.81
500008,1029,1,66.1,44.16,0.15,66.1
500008,1019,1,50.33,27.36,0.0,50.33
500008,1026,1,19.61,9.19,0.1,19.61
500009,1014,1,59.34,25.6,0.0,59.34
500009,1006,1,92.47,61.12,0.0,92.47
500010,1006,1,83.22,61.12,0.1,83.22
500011,1012,1,111.0,76.2,0.05,111.0
500012,1017,1,45.95,23.72,0.0,45.95
500013,1009,1,71.9,31.39,0.0,71.9
500013,1023,2,71.75,45.15,0.0,143.5
500013,1007,1,77.46,51.69,0.05,77.46
500014,1025,1,44.94,27.34,0.25,44.94
500015,1014,3,56.37,25.6,0.05,169.11
500015,1001,1,147.21,82.77,0.05,147.21
500016,1030,2,27.79,13.16,0.05,55.58
500017,1002,1,159.68,101.07,0.05,159.68
500017,1015,1,29.66,17.72,0.0,29.66
500018,1032,1,79.83,58.13,0.15,79.83
500019,1013,2,88.95,41.86,0.0,177.9
500019,1004,1,114.73,95.52,0.25,114.73
500020,1010,1,101.38,59.23,0.0,101.38
500020,1013,1,75.61,41.86,0.15,75.61
500021,1021,3,93.7,70.17,0.15,281.1
500022,1002,1,142.87,101.07,0.15,142.87
500023,1008,1,59.89,28.69,0.0,59.89
500023,1025,3,44.94,27.34,0.25,134.82
500024,1014,1,56.37,25.6,0.05,56.37
500024,1020,1,48.47,41.15,0.3,48.47
500024,1021,1,110.24,70.17,0.0,110.24
500025,1032,1,70.44,58.13,0.25,70.44
500026,1001,1,154.96,82.77,0.0,154.96
500026,1024,1,36.61,18.12,0.0,36.61
500026,1025,1,59.92,27.34,0.0,59.92
500027,1029,1,77.76,44.16,0.0,77.76
500027,1004,1,145.33,95.52,0.05,145.33
500028,1009,1,71.9,31.39,0.0,71.9
500029,1024,1,25.63,18.12,0.3,25.63
500029,1018,2,116.56,54.7,0.0,233.12
500029,1025,1,47.94,27.34,0.2,47.94
500030,1030,3,27.79,13.16,0.05,83.37
500030,1004,1,152.98,95.52,0.0,152.98
500031,1020,1,62.32,41.15,0.1,62.32
500032,1021,1,110.24,70.17,0.0,110.24
500032,1007,1,81.54,51.69,0.0,81.54
500032,1012,1,116.84,76.2,0.0,116.84
