order_id,customer_id,order_datetime,status,payment_method,device
500001,7463,2025-02-16 07:03:00,Completed,Card,Mobile
500002,3165,2025-06-11 09:36:00,Completed,PayPal,Mobile
500003,18611,2025-05-19 22:09:00,Completed,Card,Mobile
500004,1312,2025-11-09 12:45:00,Completed,Card,Mobile
500005,14363,2025-02-14 02:38:00,Returned,PayPal,Desktop
500006,14474,2025-04-12 17:45:00,Completed,Card,Tablet
500007,16267,2025-11-25 18:16:00,Completed,PayPal,Desktop
500008,16891,2025-08-06 09:56:00,Completed,Card,Mobile
500009,6682,2025-12-15 12:11:00,Completed,Google Pay,Mobile
500010,9811,2025-11-29 22:15:00,Completed,Google Pay,Desktop
500011,14123,2025-12-25 15:53:00,Completed,Card,Desktop
500012,2470,2025-09-22 02:08:00,Completed,Card,Mobile
500013,19623,2025-02-13 09:31:00,Completed,Google Pay,Mobile
500014,18147,2025-12-01 08:04:00,Completed,Apple Pay,Mobile
500015,1245,2025-01-04 17:01:00,Completed,Card,Desktop
500016,335,2025-07-31 05:43:00,Returned,Card,Desktop
500017,6578,2025-03-09 16:32:00,Completed,PayPal,Mobile
500018,18279,2025-07-27 23:19:00,Completed,PayPal,Mobile
500019,13810,2025-10-05 22:20:00,Completed,Card,Desktop
500020,12913,2025-02-06 18:14:00,Completed,Card,Mobile
500021,16657,2025-06-20 12:14:00,Completed,Apple Pay,Mobile
500022,18159,2025-01-22 03:14:00,Completed,PayPal,Desktop
500023,13654,2025-05-22 11:20:00,Completed,Card,Mobile
500024,3470,2025-09-02 13:20:00,Completed,Card,Desktop
500025,11984,2025-12-04 22:57:00,Completed,PayPal,Tablet
500026,15399,2025-04-20 07:35:00,Completed,Apple Pay,Mobile
500027,11539,2025-11-27 00:10:00,Completed,Card,Mobile
500028,6499,2025-12-14 18:42:00,Completed,Card,Mobile
500029,11214,2025-09-05 18:02:00,Completed,Card,Mobile
500030,5941,2025-02-02 00:33:00,Completed,Card,Desktop
500031,8361,2025-12-04 17:20:00,Completed,Apple Pay,Mobile
